Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
"C1","10uF,6.3V,X5R ","C_0402_1005Metric",107.215000,-96.675000,-90.000000,top
"C2","100nF,16V,X7R ","C_0402_1005Metric",108.485000,-96.675000,-90.000000,top
"J1","Conn_01x04","PinHeader_1x04_P2.54mm_Horizontal",120.000000,-107.500000,-90.000000,top
"R1","10k","R_0402_1005Metric",123.825000,-97.790000,-90.000000,top
"R2","10k","R_0402_1005Metric",122.555000,-97.790000,90.000000,top
"R5","10k","R_0402_1005Metric",111.125000,-97.790000,90.000000,top
"R6","10k","R_0402_1005Metric",109.855000,-97.790000,90.000000,top
"R7","10k","R_0402_1005Metric",123.950000,-101.500000,0.000000,top
"U1","ESP-12F","ESP-12E_SMD",108.790000,-79.060000,0.000000,top
